Order_Date,Ship_Mode,Segment,City,State,Region,Category,Sub_Category,Sales,Month,Quarter
2017-11-08,Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,11,4
2017-06-12,Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,6,2
2016-10-11,Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,10,4
2015-06-09,Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,6,2
2015-06-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,6,2
2015-06-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,6,2
2015-06-09,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,6,2
2018-04-15,Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,4,2
2017-12-05,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,12,4
2016-11-22,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,11,4
2016-11-22,Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,11,4
2015-05-13,Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,5,2
2015-08-27,Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,8,3
2015-08-27,Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,8,3
2015-08-27,Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,8,3
2017-12-09,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,12,4
2017-12-09,Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,12,4
2018-07-16,Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,7,3
2017-01-16,Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,1,1
2017-01-16,Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,1,1
2016-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,9,3
2016-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,9,3
2016-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,9,3
2016-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,9,3
2016-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,9,3
2016-09-17,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,9,3
2018-10-19,Second Class,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,10,4
2017-12-08,First Class,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,12,4
2016-12-27,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,12,4
2016-12-27,Standard Class,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,12,4
2016-12-27,Standard Class,Home Office,Houston,Texas,Central,Technology,Phones,371.168,12,4
2018-09-10,Standard Class,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,9,3
2017-07-17,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,7,3
2018-09-19,Standard Class,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,9,3
2017-03-11,First Class,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,3,1
2017-03-11,First Class,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,3,1
2015-10-20,Second Class,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,10,4
